[0130/121915:WARNING:raw_channel_win.cc(532)] WriteFile: The pipe is being closed. (0xE8)
[0130/121915:WARNING:channel.cc(359)] RawChannel write error
[0130/174904:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174904:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174904:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174906:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174909:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174909:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174909:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174911:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174914:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174914:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174914:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174916:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174919:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174919:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174919:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174921:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174924:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174924:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174924:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174926:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174929:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174929:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174929:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174931:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174934:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174934:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174934:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174936:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174939:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174939:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174939:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174941:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174944:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174944:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174944:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/174946:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/181413:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/181418:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0130/181418:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[0203/134222:ERROR:ipc_channel_win.cc(512)] pipe error: 232
